S.No.,Title,Year,Duration,Rating,Score,Link
123,On the Waterfront,1954,1h 48m,Approved,8.1,https://www.imdb.com/title/tt0047296/?ref_=chttp_t_209
124,Logan,2017,2h 17m,R,8.1,https://www.imdb.com/title/tt3315342/?ref_=chttp_t_210
125,The Silence of the Lambs,1991,1h 58m,R,8.6,https://www.imdb.com/title/tt0102926/?ref_=chttp_t_22
126,Wild Strawberries,1957,1h 32m,Not Rated,8.1,https://www.imdb.com/title/tt0050986/?ref_=chttp_t_211
127,Rocky,1976,2h,PG,8.1,https://www.imdb.com/title/tt0075148/?ref_=chttp_t_212
128,The Third Man,1949,1h 44m,Approved,8.1,https://www.imdb.com/title/tt0041959/?ref_=chttp_t_213
129,Tokyo Story,1953,2h 17m,Not Rated,8.1,https://www.imdb.com/title/tt0046438/?ref_=chttp_t_214
130,Spotlight,2015,2h 9m,R,8.1,https://www.imdb.com/title/tt1895587/?ref_=chttp_t_215
131,The Terminator,1984,1h 47m,R,8.1,https://www.imdb.com/title/tt0088247/?ref_=chttp_t_216
132,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1,https://www.imdb.com/title/tt0325980/?ref_=chttp_t_217
133,The Big Lebowski,1998,1h 57m,R,8.1,https://www.imdb.com/title/tt0118715/?ref_=chttp_t_218
134,Maharaja,2024,2h 21m,UNKNOWN,8.4,https://www.imdb.com/title/tt26548265/?ref_=chttp_t_219
135,The Seventh Seal,1957,1h 36m,Not Rated,8.1,https://www.imdb.com/title/tt0050976/?ref_=chttp_t_220
136,Seven Samurai,1954,3h 27m,Not Rated,8.6,https://www.imdb.com/title/tt0047478/?ref_=chttp_t_23
137,La haine,1995,1h 38m,Not Rated,8.1,https://www.imdb.com/title/tt0113247/?ref_=chttp_t_221
138,Room,2015,1h 58m,R,8.1,https://www.imdb.com/title/tt3170832/?ref_=chttp_t_222
139,Jai Bhim,2021,2h 44m,Approved,8.6,https://www.imdb.com/title/tt15097216/?ref_=chttp_t_223
140,Hotel Rwanda,2004,2h 1m,PG-13,8.1,https://www.imdb.com/title/tt0395169/?ref_=chttp_t_224
141,Platoon,1986,2h,R,8.1,https://www.imdb.com/title/tt0091763/?ref_=chttp_t_225
142,The Best Years of Our Lives,1946,2h 50m,Approved,8.1,https://www.imdb.com/title/tt0036868/?ref_=chttp_t_226
143,Before Sunset,2004,1h 20m,R,8.1,https://www.imdb.com/title/tt0381681/?ref_=chttp_t_227
144,The Sound of Music,1965,2h 52m,G,8.1,https://www.imdb.com/title/tt0059742/?ref_=chttp_t_228
145,The Exorcist,1973,2h 2m,R,8.1,https://www.imdb.com/title/tt0070047/?ref_=chttp_t_229
146,The Incredibles,2004,1h 55m,PG,8,https://www.imdb.com/title/tt0317705/?ref_=chttp_t_230
147,Saving Private Ryan,1998,2h 49m,R,8.6,https://www.imdb.com/title/tt0120815/?ref_=chttp_t_24
148,The Wizard of Oz,1939,1h 42m,G,8.1,https://www.imdb.com/title/tt0032138/?ref_=chttp_t_231
149,Hachi: A Dog's Tale,2009,1h 33m,G,8.1,https://www.imdb.com/title/tt1028532/?ref_=chttp_t_232
150,Rush,2013,2h 3m,R,8.1,https://www.imdb.com/title/tt1979320/?ref_=chttp_t_233
